source_id,title_pattern,expected_year,source_pdf_filename,source_pdf_sha256,source_document_status,is_available,blocking_reason
ine_external_trade_yearbook,Estatisticas do Comercio Externo,1960,ine_external_trade_1960_volume_i.pdf;ine_external_trade_1960_volume_ii.pdf,b7160de354832e3d896af73a6375e0e7cdbf4712ffaece574bbc253e5f4d2013;e0ca1cf60279785fba34a65a9c1072099cd5425363569ffa29b05cb14889f02a,available,True,
ine_external_trade_yearbook,Estatisticas do Comercio Externo,1961,ine_external_trade_1961_volume_i.pdf;ine_external_trade_1961_volume_ii.pdf,5cab363745b6c97b317434f4bcfe9361767e6938cf7615d039034f48e010801f;b729cc672b7ade0e913f7c0bf91f45bfb009fb5d028cbb754a3ac4c8e7b649f7,available,True,
ine_external_trade_yearbook,Estatisticas do Comercio Externo,1962,ine_external_trade_1962_volume_i.pdf;ine_external_trade_1962_volume_ii.pdf,4f65453197d811905bcb7fe919926ddb09fe3c850875af5ae232c2c600a948dc;02542c6e1808cdc6da956a82089b5921afe37109b6f01a367af2a41e760bebd8,available,True,
ine_external_trade_yearbook,Estatisticas do Comercio Externo,1963,ine_external_trade_1963_volume_i.pdf;ine_external_trade_1963_volume_ii.pdf,cee8ef98d3ce3a1ac4deeb7053e876f1ec29d1efeec8a41d91eba5b7b684fa02;6c14f14c65c861e442c1490bfcdc50f6243cf768d5e0c82a7f28a9c17163365c,available,True,
ine_external_trade_yearbook,Estatisticas do Comercio Externo,1964,ine_external_trade_1964_volume_i.pdf;ine_external_trade_1964_volume_ii.pdf,b9540e95b4b14b47df4b15723a9c5bd0239e27ffa39606e19a1ae192e2e36d92;e26b4ae5b5ba2b224be246eb3269299e94a22e8bb9ab3c324dc629b7680ea350,available,True,
ine_external_trade_yearbook,Estatisticas do Comercio Externo,1965,ine_external_trade_1965_volume_i.pdf;ine_external_trade_1965_volume_ii.pdf,d6b95a6b73d54ce1935955b6be7cfed9f20e1d7a3535e1b8c2432edaaff4c6f3;0d37ab3f0fb1511d89722b0536734cf94d7eed3045d0c134a49c4ea6c5af21fb,available,True,
ine_external_trade_yearbook,Estatisticas do Comercio Externo,1966,ine_external_trade_1966_volume_i.pdf;ine_external_trade_1966_volume_ii.pdf,bcf49f8901a860ef577508e858bd4cf52c7a1030965eea2fcd402799aada6bd0;5d8985fbd017a568d1b20b4f4ec5107ea682d30c3cdca253d8c3cd1f308ad1db,available,True,
ine_external_trade_yearbook,Estatisticas do Comercio Externo,1967,ine_external_trade_1967_volume_i.pdf;ine_external_trade_1967_volume_ii.pdf,cfc4ad022d205c7c390485575871ee3773eae0f78a5b4ce5e2d5c8420c14242d;b72ba2f6b80dc83bb77bd98543647ca3eecdfbda289e56550ac996241b8a0c1a,available,True,
ine_external_trade_yearbook,Estatisticas do Comercio Externo,1968,ine_external_trade_1968_volume_i.pdf;ine_external_trade_1968_volume_ii.pdf,5b704c0157733f280f0717e72f2d2de830db39e75414dbfe28c86e9d8a5c05fa;71b70d6829f002f78fa0e6ba7b526a11619963f04dd59e4cfa230ab90285a17c,available,True,
ine_external_trade_yearbook,Estatisticas do Comercio Externo,1969,ine_external_trade_1969_volume_i.pdf;ine_external_trade_1969_volume_ii.pdf,1679ae77b3e2663166af36e228edba9918c6993a1ce4c98c9f005ffb07c73e09;823c4089001ecb1fe2ed2266d8426217feabdb97e4a59c7c889ddd45e76354c6,available,True,
ine_external_trade_yearbook,Estatisticas do Comercio Externo,1970,ine_external_trade_1970_volume_i.pdf;ine_external_trade_1970_volume_ii.pdf,465a1d41cc1ebff60c479337d6214100a2c2ebf3b1cad16b3e609408a890d454;168f1d0dbe0de4bcac8c721ab99a6d8450d3fa22336f43cbfaabce2933d56cc8,available,True,
ine_external_trade_yearbook,Estatisticas do Comercio Externo,1971,ine_external_trade_1971_volume_i.pdf;ine_external_trade_1971_volume_ii.pdf,e7804b727fb6987b1b9e76e30a2e721a3c56d9f2f095c4a9d0c9016ad53616ac;364d494429719c1a25daf463c912695be7163ab6c1938510a3c2d16348183237,available,True,
ine_external_trade_yearbook,Estatisticas do Comercio Externo,1972,ine_external_trade_1972_volume_i.pdf;ine_external_trade_1972_volume_ii.pdf,dd7f27d9366c76dddfa07761db6a47660b7cbcde575207686b9bd90fe90844a6;42b2f7736e1901eafe65bcb42ca12a5d5db6a55d1eb0a2d917286f5634affe6b,available,True,
ine_external_trade_yearbook,Estatisticas do Comercio Externo,1973,ine_external_trade_1973_volume_i.pdf;ine_external_trade_1973_volume_ii.pdf,ef13f704b430a739a258e56e080d21d930b074fe49774b6726989329a339225f;b91e5dae8e39cf72479aab60521833d612cb071a610b6c8f18e830b22c712454,available,True,
oecd_portugal_survey,OECD Economic Survey Portugal,1960,,,missing_source_pdf,False,missing_source_pdf
oecd_portugal_survey,OECD Economic Survey Portugal,1961,,,missing_source_pdf,False,missing_source_pdf
oecd_portugal_survey,OECD Economic Survey Portugal,1962,,,missing_source_pdf,False,missing_source_pdf
oecd_portugal_survey,OECD Economic Survey Portugal,1963,,,missing_source_pdf,False,missing_source_pdf
oecd_portugal_survey,OECD Economic Survey Portugal,1964,,,missing_source_pdf,False,missing_source_pdf
oecd_portugal_survey,OECD Economic Survey Portugal,1965,,,missing_source_pdf,False,missing_source_pdf
oecd_portugal_survey,OECD Economic Survey Portugal,1966,,,missing_source_pdf,False,missing_source_pdf
oecd_portugal_survey,OECD Economic Survey Portugal,1967,,,missing_source_pdf,False,missing_source_pdf
oecd_portugal_survey,OECD Economic Survey Portugal,1968,,,missing_source_pdf,False,missing_source_pdf
oecd_portugal_survey,OECD Economic Survey Portugal,1969,,,missing_source_pdf,False,missing_source_pdf
oecd_portugal_survey,OECD Economic Survey Portugal,1970,,,missing_source_pdf,False,missing_source_pdf
oecd_portugal_survey,OECD Economic Survey Portugal,1971,,,missing_source_pdf,False,missing_source_pdf
oecd_portugal_survey,OECD Economic Survey Portugal,1972,,,missing_source_pdf,False,missing_source_pdf
oecd_portugal_survey,OECD Economic Survey Portugal,1973,,,missing_source_pdf,False,missing_source_pdf
oecd_portugal_survey,OECD Economic Survey Portugal,1974,,,missing_source_pdf,False,missing_source_pdf
overseas_statistical_yearbook,Anuario Estatistico do Ultramar,1960,,,missing_source_pdf,False,missing_source_pdf
overseas_statistical_yearbook,Anuario Estatistico do Ultramar,1961,,,missing_source_pdf,False,missing_source_pdf
overseas_statistical_yearbook,Anuario Estatistico do Ultramar,1962,,,missing_source_pdf,False,missing_source_pdf
overseas_statistical_yearbook,Anuario Estatistico do Ultramar,1963,,,missing_source_pdf,False,missing_source_pdf
overseas_statistical_yearbook,Anuario Estatistico do Ultramar,1964,,,missing_source_pdf,False,missing_source_pdf
overseas_statistical_yearbook,Anuario Estatistico do Ultramar,1965,,,missing_source_pdf,False,missing_source_pdf
overseas_statistical_yearbook,Anuario Estatistico do Ultramar,1966,,,missing_source_pdf,False,missing_source_pdf
overseas_statistical_yearbook,Anuario Estatistico do Ultramar,1967,,,missing_source_pdf,False,missing_source_pdf
overseas_statistical_yearbook,Anuario Estatistico do Ultramar,1968,,,missing_source_pdf,False,missing_source_pdf
overseas_statistical_yearbook,Anuario Estatistico do Ultramar,1969,,,missing_source_pdf,False,missing_source_pdf
overseas_statistical_yearbook,Anuario Estatistico do Ultramar,1970,,,missing_source_pdf,False,missing_source_pdf
overseas_statistical_yearbook,Anuario Estatistico do Ultramar,1971,,,missing_source_pdf,False,missing_source_pdf
overseas_statistical_yearbook,Anuario Estatistico do Ultramar,1972,,,missing_source_pdf,False,missing_source_pdf
overseas_statistical_yearbook,Anuario Estatistico do Ultramar,1973,,,missing_source_pdf,False,missing_source_pdf
