source_id,reference_year,flow,partner_group_source,series_name_source,pass_1_value_source,pass_2_value_source,pass_1_table_title,pass_2_table_title,pass_1_page_number,pass_2_page_number,discrepancy_type,resolution_status
ine_external_trade_yearbook,1970,M,CEE,imports_from_eec_special_trade_current_escudos,15047905,,Quadro n.o 2 - Comercio especial por paises e territorios estatisticos,,25,,left_only,requires_adjudication
ine_external_trade_yearbook,1970,M,EFTA,imports_from_efta_special_trade_current_escudos,11023880,,Quadro n.o 2 - Comercio especial por paises e territorios estatisticos,,25,,left_only,requires_adjudication
ine_external_trade_yearbook,1970,M,Provincias Ultramarinas,imports_from_overseas_territories_special_trade_current_escudos,6716990,,Quadro n.o 2 - Comercio especial por paises e territorios estatisticos,,25,,left_only,requires_adjudication
ine_external_trade_yearbook,1970,M,World,total_imports_special_trade_current_escudos,45495031,,Quadro n.o 1 - Movimento comercial por seccoes da CMCE,,24,,left_only,requires_adjudication
ine_external_trade_yearbook,1970,X,CEE,exports_to_eec_special_trade_current_escudos,5005444,,Quadro n.o 2 - Comercio especial por paises e territorios estatisticos,,25,,left_only,requires_adjudication
ine_external_trade_yearbook,1970,X,EFTA,exports_to_efta_special_trade_current_escudos,9671172,,Quadro n.o 2 - Comercio especial por paises e territorios estatisticos,,25,,left_only,requires_adjudication
ine_external_trade_yearbook,1970,X,Provincias Ultramarinas,exports_to_overseas_territories_special_trade_current_escudos,6687814,,Quadro n.o 2 - Comercio especial por paises e territorios estatisticos,,25,,left_only,requires_adjudication
ine_external_trade_yearbook,1970,X,World,total_exports_special_trade_current_escudos,27298661,,Quadro n.o 1 - Movimento comercial por seccoes da CMCE,,24,,left_only,requires_adjudication
ine_external_trade_yearbook,1973,M,CEE,imports_from_eec_special_trade_current_escudos,33583125,,Quadro n.o 2 - Comercio especial por paises e territorios estatisticos,,24,,left_only,requires_adjudication
ine_external_trade_yearbook,1973,M,EFTA,imports_from_efta_special_trade_current_escudos,8669779,,Quadro n.o 2 - Comercio especial por paises e territorios estatisticos,,24,,left_only,requires_adjudication
ine_external_trade_yearbook,1973,M,Provincias Ultramarinas,imports_from_overseas_territories_special_trade_current_escudos,7538574,,Quadro n.o 2 - Comercio especial por paises e territorios estatisticos,,24,,left_only,requires_adjudication
ine_external_trade_yearbook,1973,M,World,total_imports_special_trade_current_escudos,74775538,,Quadro n.o 1 - Movimento comercial por seccoes da CMCE,,23,,left_only,requires_adjudication
ine_external_trade_yearbook,1973,X,CEE,exports_to_eec_special_trade_current_escudos,22083664,,Quadro n.o 2 - Comercio especial por paises e territorios estatisticos,,24,,left_only,requires_adjudication
ine_external_trade_yearbook,1973,X,EFTA,exports_to_efta_special_trade_current_escudos,6272880,,Quadro n.o 2 - Comercio especial por paises e territorios estatisticos,,24,,left_only,requires_adjudication
ine_external_trade_yearbook,1973,X,Provincias Ultramarinas,exports_to_overseas_territories_special_trade_current_escudos,6739823,,Quadro n.o 2 - Comercio especial por paises e territorios estatisticos,,24,,left_only,requires_adjudication
ine_external_trade_yearbook,1973,X,World,total_exports_special_trade_current_escudos,45410493,,Quadro n.o 1 - Movimento comercial por seccoes da CMCE,,23,,left_only,requires_adjudication
